0,133,125,140
1,137,132,139
2,139,125,127
10,133,115,140
11,133,123,139
12,139,125,136
20,129,111,140
21,132,119,139
22,139,121,135
30,129,113,140
31,132,116,137
32,139,122,138
40,133,115,140
41,137,123,140
42,139,125,137
50,133,115,140
51,137,122,139
52,139,125,136
60,133,111,140
61,133,119,139
62,139,122,135
70,128,117,140
71,132,123,140
72,139,125,137
80,133,112,140
81,133,120,139
82,139,122,135
90,128,111,140
91,132,119,139
92,139,121,134
100,127,115,140
101,126,122,139
102,139,125,137
