0,146,122,142
1,147,128,136
2,148,118,120
10,136,113,133
11,142,119,131
12,142,110,116
20,136,113,133
21,142,119,129
22,131,103,105
30,143,124,133
31,144,128,130
32,144,118,115
40,144,115,132
41,144,116,125
42,138,108,109
40,144,119,138
41,144,125,134
42,138,112,113
50,140,110,132
51,144,114,128
52,138,104,109
50,144,115,132
51,144,120,128
52,138,108,108
60,138,115,132
61,144,121,130
62,134,106,108
60,139,112,134
61,144,122,136
62,138,109,116
70,142,119,134
71,144,119,128
72,138,112,112
70,143,116,134
71,144,121,131
72,138,108,111
80,144,119,132
81,144,120,125
82,143,113,109
