0,139,128,138
1,144,137,138
2,141,128,126
10,139,125,138
11,144,137,138
12,141,128,124
20,139,128,138
21,144,137,138
22,141,128,126
30,139,128,138
31,144,137,138
32,141,128,123
30,139,128,138
31,144,137,138
32,141,128,126
40,139,123,138
41,144,133,138
42,141,124,123
50,143,128,138
51,144,137,138
52,141,128,126
60,144,128,138
61,144,137,138
62,141,128,124
70,139,128,138
71,144,137,138
72,141,128,126
80,139,128,136
81,144,137,136
82,141,131,124
90,139,124,133
91,144,134,133
92,141,125,117
90,139,128,138
91,144,137,138
92,141,131,126
100,143,128,138
101,144,137,138
102,141,128,123
100,139,128,136
101,144,137,138
102,141,128,123
